Comentario,Sentimento
"Não gostei do produto, atendimento horrível",1
"Decepcionado com a compra, experiência ruim",0
"Entrega demorada, péssima qualidade",0
"Adorei o produto, adorei o produto",1
"Decepcionado com a compra, decepcionado com a compra",1
"Entrega demorada, decepcionado com a compra",1
"Superou as expectativas, melhor compra que fiz",0
"Adorei o produto, experiência incrível",0
"Recomendo a todos, atendimento excepcional",0
"Decepcionado com a compra, não recomendo",1
"Péssima qualidade, estou insatisfeito",0
"Não recomendo, não recomendo",0
"Adorei o produto, melhor compra que fiz",1
"Estou insatisfeito, péssima qualidade",1
"Serviço maravilhoso, recomendo a todos",1
"Péssima qualidade, não gostei do produto",0
"Atendimento horrível, péssima qualidade",0
"Péssima qualidade, estou insatisfeito",0
"Melhor compra que fiz, recomendo a todos",0
"Não recomendo, não recomendo",1
"Atendimento horrível, péssima qualidade",0
"Entrega demorada, decepcionado com a compra",0
"Pior compra que fiz, estou insatisfeito",1
"Entrega rápida, superou as expectativas",1
"Adorei o produto, superou as expectativas",1
"Não recomendo, estou insatisfeito",0
"Excelente qualidade, superou as expectativas",1
"Superou as expectativas, melhor compra que fiz",0
"Melhor compra que fiz, experiência incrível",1
"Experiência incrível, superou as expectativas",1
"Serviço maravilhoso, estou muito satisfeito",0
"Recomendo a todos, superou as expectativas",1
"Entrega demorada, pior compra que fiz",1
"Não gostei do produto, péssima qualidade",1
"Experiência ruim, estou insatisfeito",0
"Estou insatisfeito, estou insatisfeito",1
"Entrega rápida, atendimento excepcional",0
"Péssima qualidade, entrega demorada",1
"Recomendo a todos, excelente qualidade",1
"Estou muito satisfeito, experiência incrível",1
"Adorei o produto, atendimento excepcional",1
"Entrega demorada, péssima qualidade",1
"Entrega rápida, serviço maravilhoso",1
"Experiência ruim, não recomendo",0
"Entrega demorada, entrega demorada",0
"Serviço péssimo, não recomendo",1
"Adorei o produto, excelente qualidade",1
"Atendimento excepcional, superou as expectativas",0
"Decepcionado com a compra, serviço péssimo",1
"Péssima qualidade, pior compra que fiz",1
"Entrega demorada, experiência ruim",1
"Pior compra que fiz, entrega demorada",0
"Atendimento horrível, entrega demorada",1
"Superou as expectativas, entrega rápida",1
"Atendimento horrível, estou insatisfeito",0
"Melhor compra que fiz, entrega rápida",1
"Excelente qualidade, superou as expectativas",0
"Péssima qualidade, não recomendo",1
"Serviço péssimo, entrega demorada",1
"Serviço péssimo, decepcionado com a compra",1
"Péssima qualidade, não gostei do produto",1
"Péssima qualidade, não gostei do produto",1
"Excelente qualidade, entrega rápida",0
"Atendimento horrível, pior compra que fiz",0
"Entrega demorada, experiência ruim",0
"Superou as expectativas, melhor compra que fiz",0
"Superou as expectativas, excelente qualidade",1
"Estou insatisfeito, não recomendo",1
"Estou muito satisfeito, melhor compra que fiz",0
"Péssima qualidade, não gostei do produto",1
"Recomendo a todos, excelente qualidade",1
"Decepcionado com a compra, decepcionado com a compra",1
"Experiência incrível, estou muito satisfeito",0
"Atendimento horrível, pior compra que fiz",0
"Péssima qualidade, pior compra que fiz",1
"Não gostei do produto, entrega demorada",0
"Péssima qualidade, decepcionado com a compra",1
"Estou insatisfeito, pior compra que fiz",0
"Superou as expectativas, estou muito satisfeito",1
"Experiência ruim, estou insatisfeito",1
"Estou insatisfeito, atendimento horrível",1
"Atendimento excepcional, estou muito satisfeito",1
"Experiência incrível, superou as expectativas",1
"Superou as expectativas, adorei o produto",1
"Não recomendo, não gostei do produto",1
"Serviço péssimo, pior compra que fiz",1
"Não gostei do produto, entrega demorada",1
"Experiência ruim, péssima qualidade",1
"Decepcionado com a compra, estou insatisfeito",1
"Serviço péssimo, decepcionado com a compra",0
"Serviço péssimo, péssima qualidade",0
"Serviço maravilhoso, serviço maravilhoso",0
"Atendimento excepcional, superou as expectativas",1
"Superou as expectativas, atendimento excepcional",0
"Experiência incrível, atendimento excepcional",0
"Recomendo a todos, excelente qualidade",0
"Pior compra que fiz, serviço péssimo",0
"Péssima qualidade, entrega demorada",1
"Entrega demorada, atendimento horrível",1
"Não recomendo, péssima qualidade",1
"Não recomendo, atendimento horrível",0
"Pior compra que fiz, entrega demorada",0
"Serviço maravilhoso, entrega rápida",1
"Entrega demorada, atendimento horrível",0
"Experiência ruim, atendimento horrível",1
"Péssima qualidade, entrega demorada",0
"Atendimento horrível, atendimento horrível",1
"Não recomendo, decepcionado com a compra",0
"Entrega rápida, melhor compra que fiz",0
"Adorei o produto, excelente qualidade",1
"Atendimento excepcional, adorei o produto",0
"Não recomendo, experiência ruim",0
"Experiência incrível, melhor compra que fiz",1
"Entrega rápida, adorei o produto",0
"Péssima qualidade, experiência ruim",1
"Não recomendo, serviço péssimo",0
"Estou insatisfeito, experiência ruim",0
"Atendimento horrível, não recomendo",1
"Não recomendo, decepcionado com a compra",1
"Péssima qualidade, não recomendo",1
"Serviço maravilhoso, experiência incrível",1
"Experiência ruim, experiência ruim",1
"Adorei o produto, experiência incrível",0
"Estou muito satisfeito, superou as expectativas",0
"Experiência incrível, excelente qualidade",1
"Adorei o produto, melhor compra que fiz",1
"Decepcionado com a compra, pior compra que fiz",0
"Atendimento excepcional, superou as expectativas",0
"Não gostei do produto, decepcionado com a compra",1
"Recomendo a todos, atendimento excepcional",1
"Atendimento horrível, não recomendo",0
"Entrega rápida, recomendo a todos",0
"Péssima qualidade, atendimento horrível",0
"Serviço péssimo, atendimento horrível",0
"Péssima qualidade, serviço péssimo",1
"Recomendo a todos, recomendo a todos",0
"Serviço maravilhoso, entrega rápida",0
"Estou insatisfeito, serviço péssimo",0
"Atendimento horrível, não gostei do produto",1
"Adorei o produto, entrega rápida",0
"Não recomendo, estou insatisfeito",1
"Não recomendo, serviço péssimo",1
"Excelente qualidade, atendimento excepcional",1
"Estou muito satisfeito, recomendo a todos",1
"Atendimento excepcional, entrega rápida",1
"Decepcionado com a compra, estou insatisfeito",1
"Experiência incrível, serviço maravilhoso",0
"Estou muito satisfeito, entrega rápida",0
"Atendimento horrível, atendimento horrível",0
"Estou insatisfeito, serviço péssimo",0
"Melhor compra que fiz, melhor compra que fiz",1
"Superou as expectativas, entrega rápida",0
"Experiência incrível, excelente qualidade",0
"Entrega rápida, serviço maravilhoso",0
"Excelente qualidade, superou as expectativas",0
"Superou as expectativas, superou as expectativas",0
"Não gostei do produto, não gostei do produto",0
"Pior compra que fiz, serviço péssimo",0
"Pior compra que fiz, estou insatisfeito",1
"Estou insatisfeito, pior compra que fiz",1
"Superou as expectativas, experiência incrível",1
"Péssima qualidade, estou insatisfeito",1
"Experiência ruim, entrega demorada",0
"Adorei o produto, entrega rápida",0
"Péssima qualidade, pior compra que fiz",1
"Pior compra que fiz, entrega demorada",1
"Melhor compra que fiz, serviço maravilhoso",1
"Entrega rápida, melhor compra que fiz",0
"Pior compra que fiz, pior compra que fiz",0
